State,Account_Length,Area_Code,Int_l_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,Intl_Mins,Intl_Calls,CustServ_Calls,Churn_,Scored Labels,Scored Probabilities
WI,98,415,yes,yes,20,186.2,112,145.3,65,142.8,104,10.9,4,3,False,False,7.79550246079452E-05
DC,157,510,no,yes,29,219.2,102,206,109,192.4,117,15,5,1,False,False,0.00876238010823727
WI,102,408,no,no,0,200.6,106,152.5,127,199.4,128,7.7,2,3,False,False,0.000190421545994468
ND,97,415,no,no,0,197.8,122,208.2,147,106.3,115,15.1,4,1,False,False,0.000176750589162111
MO,15,415,no,no,0,135.2,101,152.5,79,224.8,83,8.4,5,2,False,False,0.000210407888516784
ME,59,510,no,no,0,166.3,95,239.3,87,123.2,108,10,3,2,False,False,6.82095924275927E-05
VT,159,415,no,no,0,275.8,103,189.5,108,223.9,93,7.4,5,2,True,True,0.995204925537109
CT,48,415,no,no,0,171.9,98,159,127,139.5,101,7.6,3,2,False,False,0.000192953506484628
AZ,76,408,no,yes,12,98.4,100,187.5,119,177,68,15.1,3,1,False,False,0.000477747205877677
ID,69,510,yes,no,0,199.7,121,189.4,92,264,120,11.1,4,6,True,False,0.0543001145124435
AZ,66,510,no,no,0,154,133,198.9,121,151.9,100,9.5,3,4,True,True,0.999525487422943
OR,81,415,no,yes,33,200.3,103,216.9,96,249.8,100,15.5,4,1,False,False,0.00135551043786108
CO,154,415,no,no,0,350.8,75,216.5,94,253.9,100,10.1,9,1,True,True,0.999999701976776
WA,81,415,no,no,0,183.6,116,152.6,98,212.2,99,12.2,6,3,False,False,0.0053585059940815
IN,205,510,no,no,0,49.9,123,150.7,81,188.2,67,10.1,4,2,False,False,0.000448274135123938
OR,67,415,yes,no,0,120.9,58,235,88,95.1,130,11.4,11,2,False,False,2.98535978799919E-05
CA,19,408,no,no,0,146.8,99,190.5,101,146.1,68,9.3,2,0,False,False,0.000679942837450653
ME,104,415,no,no,0,246.4,108,205.5,102,208.1,125,14.1,8,2,False,True,0.700511276721954
ID,71,415,no,no,0,212.1,114,235.9,91,207.7,135,11.3,5,4,False,False,0.22283861041069
TN,112,415,no,no,0,272.5,119,226.1,94,159.1,94,16.4,5,3,True,True,0.998583376407623
DE,79,415,no,no,0,66.7,124,204,91,254.7,110,15.1,2,1,False,False,0.00204292661510408
NC,103,415,no,no,0,263.4,118,179.1,69,214.7,112,10.3,2,0,False,False,0.00263217394240201
IN,108,415,no,no,0,199.3,104,224.2,92,140.1,57,15.2,2,0,False,False,0.000974057184066623
HI,131,415,no,yes,30,174,118,205.3,81,218.2,90,6.7,3,1,False,False,0.000494903419166803
KS,128,415,no,yes,25,265.1,110,197.4,99,244.7,91,10,3,1,False,False,0.00241233082488179
CA,112,415,no,no,0,105.3,101,187.2,92,206.4,101,11.1,2,4,True,True,0.999992072582245
MN,128,510,yes,no,0,192.8,96,136.6,86,151.8,75,13.5,4,1,True,True,0.99999475479126
NJ,113,408,no,no,0,132.1,72,247.5,107,246.2,123,6.9,6,3,False,False,0.00502943014726043
ND,132,510,no,no,0,163.2,80,167.6,90,87.5,90,6.2,10,1,False,False,0.00110812543425709
NV,118,510,no,yes,35,256.3,119,258.1,91,215.5,130,11.7,1,1,False,False,0.00150274834595621
NC,182,415,no,no,0,279.5,118,203.2,113,174.2,101,10.7,4,2,True,True,0.999085664749146
WI,69,510,yes,no,0,279.8,90,248.7,91,171,118,8.4,10,2,True,True,0.999934256076813
UT,138,510,no,no,0,205.9,96,257.1,94,209,63,12.1,8,0,False,False,0.00138676725327969
IA,143,510,no,yes,33,141.4,130,186.4,114,210,111,7.7,6,1,False,False,0.0313968248665333
OR,3,510,no,no,0,125.5,100,266.2,78,270.4,119,5.9,6,3,True,False,0.000185765951755457
KS,110,510,no,no,0,208,69,95.1,94,178.5,129,8,11,1,False,False,0.000210772894206457
WI,94,510,no,no,0,177.1,112,194,112,146.7,108,5.9,4,1,False,False,0.00143262930214405
FL,91,510,yes,yes,24,93.5,112,183.4,128,240.7,133,9.9,3,0,False,False,0.000174163200426847
VA,86,415,no,yes,30,99.9,84,263.5,125,254.7,90,9.8,7,2,False,False,0.0012059670407325
ID,97,408,no,no,0,239.8,125,214.8,111,143.3,81,8.7,5,2,False,False,0.000881600135471672
WY,151,415,no,no,0,170.2,89,187.5,83,119.5,100,4.3,3,0,False,False,0.00257694395259023
NH,75,510,no,no,0,226.1,105,201.5,107,246.2,98,10.3,5,1,False,False,0.0039980667643249
OR,92,415,no,no,0,196.5,82,190,89,163.2,99,10.8,2,2,False,False,0.000387004460208118
NC,170,415,no,no,0,246.4,107,228.1,124,166.4,95,9.1,8,0,False,False,0.103910595178604
VA,103,510,no,no,0,167.8,121,212.9,123,208.2,73,13,3,5,False,False,0.0178701132535934
AZ,100,510,no,no,0,78.7,98,225.6,102,150.4,106,14,8,0,False,False,0.0003738829982467
DE,142,408,no,no,0,187,133,134.6,74,242.2,127,7.4,5,2,False,False,0.126383438706398
PA,140,408,no,no,0,112.8,89,156.7,65,249.6,85,16.3,6,0,False,False,0.000104014805401675
OH,116,415,no,yes,27,204.7,118,209.4,91,212.9,67,7,2,2,False,False,0.000586157140787691
VT,138,415,no,no,0,230.1,107,212,120,174.9,119,13.2,4,1,False,False,0.000231241880101152
CO,118,415,no,yes,36,294.9,106,165.7,115,189.2,63,9.8,5,3,False,False,0.000486911652842537
UT,80,415,no,no,0,195.1,65,214,80,124.4,96,9.2,6,2,False,False,0.000332822382915765
LA,155,408,no,yes,39,183.3,106,205.1,101,263.7,90,5.1,7,1,False,False,0.000450155406724662
NJ,59,510,no,no,0,195,58,198.5,88,304.3,110,14.8,9,0,False,False,0.00199039559811354
KY,114,408,no,no,0,204.4,91,239.6,136,235,64,11.5,3,2,False,False,0.000324251450365409
GA,117,510,no,no,0,110.4,122,242.9,103,170.4,75,13.9,5,1,False,False,0.00102767231874168
HI,111,408,no,yes,13,193.1,104,111.6,98,227.4,94,12.1,4,1,False,False,0.000395079230656847
RI,126,510,no,no,0,181.7,102,216.3,114,317.9,83,12.4,6,1,False,False,0.00820794887840748
KY,112,415,no,no,0,170.5,113,193.2,129,188,91,11.2,6,0,False,False,0.00277867075055838
KS,166,415,yes,yes,28,175.8,126,253.6,76,128.5,72,11.4,5,1,False,False,0.000265223672613502
ME,77,415,no,no,0,208.8,117,175.4,81,171.5,105,13.4,3,0,False,False,0.00416342634707689
KY,58,415,no,no,0,247.2,116,303.7,103,105.4,94,9.3,2,2,True,False,0.498239636421204
LA,27,408,no,no,0,82.6,105,204,99,224.2,122,9.1,4,1,False,False,0.0322658084332943
WA,113,408,no,no,0,161.1,133,205.3,95,60.3,93,12.2,2,2,False,False,0.00188575510401279
HI,94,408,no,no,0,226.6,119,199.8,111,219.4,141,11.7,2,3,False,False,0.000152785840327851
WV,94,415,no,yes,28,92.7,107,127.8,86,225.6,86,9.9,4,3,False,False,0.000193148560356349
NM,107,415,no,no,0,222.3,101,286,111,249.4,117,12.1,4,1,True,True,0.951690912246704
UT,67,510,no,no,0,225.9,78,243.1,83,84.1,94,13.5,2,2,True,False,0.000269799638772383
MS,116,408,yes,no,0,139.4,102,261.8,97,167.4,101,10.5,4,1,False,False,0.000288480368908495
HI,106,415,no,no,0,147.9,97,209.3,99,162.1,80,8.8,5,2,False,False,0.000242173904553056
UT,243,510,no,no,0,95.5,92,163.7,63,264.2,118,6.6,6,2,False,False,0.000130254527903162
IN,86,415,no,no,0,166.2,112,255.3,81,228.1,97,5.4,7,1,False,False,0.000749732193071395
OR,163,408,no,yes,25,219.6,99,210.4,99,242.7,88,13.8,8,2,False,False,0.00319375493563712
WV,176,415,no,no,0,162.6,97,227.8,107,218.8,92,11.3,4,1,False,False,0.00155382684897631
SD,114,415,no,yes,36,309.9,90,200.3,89,183.5,105,14.2,2,1,False,False,0.0225776191800833
IN,105,510,no,yes,42,101.9,79,223.1,97,241.6,77,12.9,2,0,False,False,0.00085869908798486
ID,153,415,no,yes,22,167.7,104,246.8,91,203.9,117,7.5,11,1,False,False,0.108044236898422
IL,158,415,no,yes,19,127.6,88,235.2,82,195,87,10.1,3,0,False,False,0.00116107135545462
TX,75,415,yes,no,0,222.4,78,327,111,208,104,8.7,9,1,True,False,0.0726441815495491
IN,130,408,no,no,0,115.6,129,167.8,104,141.8,124,12.6,9,1,False,True,0.780574381351471
SC,59,415,no,no,0,128.7,85,169.8,121,207.3,98,10.5,4,3,False,False,0.000356125354301184
IL,143,415,no,yes,26,119.6,133,247,136,227.3,54,13,3,1,False,False,0.000139109703013673
TN,121,510,no,yes,26,170.4,91,254.5,90,219.6,122,15.1,5,0,False,False,0.0085847657173872
NV,111,415,no,no,0,304.6,56,157.6,101,188.2,116,12.4,1,1,True,True,0.830287575721741
NJ,115,510,no,no,0,156.8,104,264.7,84,249,112,7.4,8,0,False,False,0.00240928260609508
MA,103,415,no,no,0,185,117,223.3,94,222.8,91,12.6,2,2,False,False,0.0014638330321759
NM,62,415,no,no,0,245.3,91,122.9,130,228.4,102,8.5,4,4,False,False,0.00292722741141915
MN,132,510,no,no,0,121.5,88,253,124,195.7,120,10.7,4,1,False,False,0.000776647997554392
MO,64,510,no,yes,48,94.4,104,136.2,101,147.4,89,4.5,4,0,False,False,6.7205932282377E-05
CO,90,415,no,no,0,207.6,82,193.3,105,149.7,68,11.2,6,1,False,False,0.000248802738497034
KY,108,415,no,yes,35,169.8,136,173.7,101,214.6,105,9.5,7,2,False,False,0.00122983544133604
IL,131,510,no,no,0,263.4,123,151.9,74,218.5,101,10.7,2,2,False,False,0.00100216374266893
SD,129,408,no,no,0,52.2,93,128.8,117,141.7,63,9.4,12,1,False,False,9.37595978030004E-05
KS,136,415,no,no,0,232.9,119,191,103,222.5,59,10.7,3,0,False,False,0.00029719018493779
NM,55,510,no,no,0,286.7,100,134.4,121,192.9,122,6.9,5,2,False,False,0.00286718970164657
DC,170,510,no,no,0,184.1,106,204.9,70,224.3,133,9.8,3,2,False,False,0.00159550691023469
NJ,16,510,no,no,0,228.6,130,208.4,103,195.3,118,11.9,7,0,False,False,0.012750580906868
TX,92,408,no,no,0,91.7,90,193.7,123,175,86,9.2,4,2,False,False,0.162275046110153
FL,106,408,no,no,0,178.4,143,247,123,259.9,105,9.6,2,0,False,False,0.00459211831912398
MD,85,510,yes,no,0,216,73,188.2,117,147.1,98,3.6,7,2,False,False,3.91839203075506E-05
KS,119,415,no,no,0,231.5,82,266.9,97,211,118,7.4,10,1,False,True,0.98850280046463
WI,111,415,no,yes,23,87.7,91,218.3,118,173.1,87,12.3,4,1,False,False,0.000814462662674487
AZ,87,510,no,no,0,110.9,91,158.5,115,207.5,131,6.2,5,1,False,False,0.000104990096588153
AL,76,415,no,no,0,222,99,215.9,122,204.1,131,8.2,5,3,True,False,0.000168462793226354
CA,138,510,yes,no,0,196.2,129,176.5,86,232.4,108,15.2,1,0,True,True,0.999991953372955
MO,72,415,no,no,0,165.9,114,235.9,97,210.1,120,12,5,2,False,False,0.000464118405943736
WV,43,510,no,yes,26,141.5,94,196.4,123,172.4,100,12.9,1,3,False,False,0.000147451835800894
IN,104,510,no,yes,44,163.2,69,271.7,107,175.6,109,9.9,2,3,False,False,0.00197745021432638
MT,131,415,no,yes,24,135.9,60,233.2,78,210.6,121,9.4,4,1,False,False,0.000304796732962132
LA,151,408,no,no,0,178.7,116,292.1,138,265.9,101,9.8,4,0,False,False,0.0299140810966492
SC,104,415,no,no,0,109.1,141,187.1,140,216.6,100,10,4,3,False,False,0.000986528233624995
NJ,53,408,no,no,0,228.6,117,132.8,123,227.2,124,10.1,2,9,True,False,0.0248471163213253
IL,90,415,no,yes,29,185.6,106,219.7,113,152.1,120,11.1,5,2,False,False,0.000209210920729674
CO,71,415,no,no,0,211.2,70,252.7,122,225.8,104,12.3,3,0,False,False,0.00219017546623945
MA,58,408,no,no,0,174.4,112,265.8,122,182.4,87,0,0,4,False,False,0.000547906791325659
RI,63,415,no,no,0,180.5,126,230,98,232.5,73,10.6,3,0,False,False,0.00250581558793783
MO,131,415,no,no,0,201.1,141,216.5,93,217.4,132,11.5,4,1,False,False,0.000969886081293225
TN,123,415,no,yes,34,305.2,80,156.5,109,280,81,13.2,7,1,False,False,0.0710875764489174
DC,41,510,no,no,0,208,83,199.4,110,173.5,91,14.9,3,1,False,False,0.000431777676567435
PA,28,415,no,no,0,168.2,87,161.7,92,192.4,112,10.1,3,3,False,False,7.0327369030565E-05
TX,98,415,yes,no,0,172.5,118,198.5,107,230.2,105,12.6,3,1,False,False,0.000286509632132947
NJ,112,408,no,no,0,351.5,95,206.8,108,275.8,146,11.9,4,1,True,True,0.999999940395355
TX,140,408,no,no,0,194.8,107,170.9,99,225.1,93,13.9,4,0,False,False,0.00120283069554716
OR,65,415,no,no,0,116.8,87,178.9,93,182.4,150,14.1,2,1,False,False,0.000189126920304261
OR,60,510,no,no,0,203.7,95,212.6,122,177.1,103,7.9,1,3,False,False,0.00041833778959699
KY,125,408,no,no,0,191.6,115,205.6,108,210.2,123,9.2,3,2,False,False,0.00456893723458052
VT,99,415,no,no,0,115.5,75,218.1,111,254.9,98,11.5,7,7,True,True,0.999978721141815
ID,103,415,no,no,0,174.7,151,148,56,168.2,109,15.8,3,6,True,True,0.888659596443176
RI,143,408,no,no,0,167.8,72,211,99,153.5,109,10.5,6,4,True,False,0.0156861171126366
WA,126,510,no,yes,42,247.8,96,159.1,98,201.8,73,10.6,3,2,False,False,0.00292359618470073
RI,95,510,no,yes,27,129.5,106,248.9,90,268,115,11.9,3,1,False,False,0.000426876737037674
FL,87,415,no,no,0,176.6,83,221.6,101,185.3,89,9.4,1,0,False,False,0.00147901708260179
NH,138,415,no,no,0,157.5,96,271.7,107,138.2,84,10.7,6,2,False,False,0.000626851106062531
WI,67,510,no,no,0,109.1,134,142.3,76,91.2,86,10.9,5,2,False,False,2.47368461714359E-05
OK,117,415,no,yes,31,104.9,115,237.6,125,263.4,104,7.7,6,3,False,False,0.00036301466752775
ME,97,510,no,no,0,120.8,96,169.8,101,194.1,63,11.9,3,4,True,True,0.999951660633087
TX,130,415,no,no,0,176.9,109,90.7,104,238,69,9.5,2,1,False,False,0.00233589229173958
CO,141,415,no,yes,32,148.6,91,131.1,97,219.4,142,10.1,1,1,False,False,0.000660759804304689
IN,110,415,no,no,0,151.8,106,138,126,233.5,112,11.2,8,3,False,False,0.0145950932055712
MO,174,510,no,no,0,235.5,108,142.3,143,316.7,131,12.5,5,0,False,False,0.00136142584960908
TN,61,415,no,yes,38,139.8,108,58.3,120,203.4,160,9.7,1,3,False,False,0.000152611100929789
NC,52,408,no,yes,31,122.2,88,139,100,141.9,141,5.7,10,3,False,False,2.95983354590135E-05
SC,38,415,no,yes,31,197.2,118,249.9,70,298.9,104,3.9,2,0,False,False,0.00011889188317582
SC,125,408,no,no,0,143.6,119,238.5,119,173.6,89,10.9,4,2,False,False,0.00224424642510712
IN,49,415,no,yes,20,205.9,109,298.4,105,142.1,91,12.3,3,4,False,False,0.000258271931670606
LA,172,408,no,no,0,212,121,31.2,115,293.3,78,12.6,10,3,False,False,0.00503810681402683
TX,41,408,no,yes,22,213.8,102,141.8,86,142.2,123,7.2,3,0,False,False,5.09083256474696E-05
SC,136,415,no,no,0,88.5,112,279.5,98,278,69,7.5,12,1,False,False,0.000458115799119696
CO,118,408,no,no,0,188.8,60,217.4,64,220.1,100,8.2,7,4,False,False,0.000337730103638023
MT,10,510,no,no,0,183,103,214.8,77,206.4,73,8.7,6,2,False,False,0.000493035709951073
MD,115,408,no,no,0,254.8,97,153.5,110,217.6,117,9,4,1,False,False,0.000134203495690599
GA,18,408,no,no,0,197,97,203.7,107,202,105,8.7,3,3,False,False,0.000299216277198866
ND,71,510,no,no,0,238,82,278.5,94,193.1,134,11.8,10,0,True,True,0.998225390911102
WA,62,415,yes,no,0,180.9,121,134.3,107,179.3,74,8.6,2,2,True,True,0.999978840351105
ME,41,415,no,yes,30,191.7,109,193,86,149.4,93,11.1,4,1,False,False,0.000120555341709405
NM,113,510,no,no,0,150.1,120,200.1,85,266.7,105,11,3,2,False,False,0.000355393509380519
ID,95,408,no,no,0,133,94,196.6,126,181,128,9.9,3,4,True,True,0.99977445602417
VT,182,415,no,no,0,160.3,87,229.9,101,185.3,96,8.7,11,2,False,False,0.000189819329534657
DC,115,510,no,yes,29,222.6,81,190.3,109,201.2,87,11.5,2,1,False,False,0.00101281388197094
MO,116,408,no,no,0,51.1,106,208.6,137,198,92,12.3,3,1,False,False,0.000485796801513061
VA,103,415,no,no,0,228.4,103,97.3,129,199.9,67,9.4,7,3,False,False,0.000625693704932928
NV,91,408,no,no,0,133.7,75,195.3,87,280.5,89,5.9,2,0,False,False,0.000306058063870296
DE,64,415,no,yes,27,201.3,101,143.8,89,150.2,127,12.3,3,1,False,False,0.0001390011748299
FL,98,408,no,no,0,92.3,128,250.1,89,211.9,110,10.8,16,3,False,False,0.000527571246493608
NC,86,510,no,no,0,190.5,115,179.6,130,258.5,89,10.1,5,3,False,False,0.00122248171828687
PA,147,510,no,yes,35,110.8,123,199.2,81,212.9,77,8.9,4,2,False,False,0.00133860041387379
OR,159,510,no,no,0,114.8,98,192.6,101,259,108,12.2,5,0,False,False,0.00176914117764682
MN,152,415,yes,yes,20,237.5,120,253.4,94,265.2,80,14.2,3,9,True,True,0.711870193481445
IN,122,408,no,no,0,170.5,94,173.7,109,248.6,75,11.3,2,1,False,False,0.00428788270801306
AR,96,415,no,yes,21,247.6,95,256.3,150,158.6,72,10.8,6,2,False,False,0.000138763920404017
DE,110,510,no,no,0,148.5,115,276.4,84,193.6,112,12.4,3,1,False,False,0.00169876648578793
DE,31,408,no,no,0,229.1,120,172.4,79,243.6,102,11,4,3,False,False,0.00059841392794624
GA,107,510,no,no,0,194.5,97,186.3,131,178.3,106,12.7,1,2,False,False,0.000919055484700948
AK,91,510,no,no,0,197.3,120,202.4,89,290.5,128,15.3,7,1,False,False,0.00220571365207434
KY,74,510,yes,no,0,125.8,103,207.7,96,207.4,143,14.1,4,1,True,True,0.999964892864227
FL,144,415,no,yes,51,283.9,98,192,109,196.3,85,10,4,1,False,False,0.00380331114865839
MI,87,415,no,no,0,198.3,80,187,89,133.5,96,16.6,4,2,False,False,0.000227290103794076
KY,122,415,no,no,0,128.9,136,244.4,133,148.7,133,10.7,5,0,False,False,0.0188422426581383
LA,44,510,no,no,0,189.7,122,178.9,72,244.7,93,9.8,5,0,False,False,0.000781948794610798
NM,72,415,no,no,0,190.7,111,241.6,103,278.1,95,4.4,3,1,False,False,0.000267274008365348
ME,66,408,no,yes,26,254.9,108,243.2,135,190.8,95,5.4,3,2,False,False,0.000634994124993682
NH,103,408,no,no,0,150.6,125,169.1,126,221.2,104,10.4,8,8,True,True,0.999804139137268
MT,132,408,no,no,0,195.1,100,148.8,95,224.5,117,6.7,2,0,False,False,0.0021678174380213
MO,87,415,yes,no,0,128.9,71,281.9,91,209.1,100,9.9,4,0,False,False,0.00453102868050337
ID,82,415,no,no,0,266.9,83,229.7,74,251.7,99,11,6,3,True,True,0.999972820281982
DE,148,415,no,no,0,124.4,83,179.7,81,253,99,11.3,6,0,False,False,0.000971503846812993
IN,86,510,no,no,0,216.3,96,266.3,77,214,110,4.5,3,0,False,False,0.00516610220074654
GA,63,408,no,no,0,204,119,161.7,90,202.6,113,9.4,4,3,False,False,0.000183887415914796
NM,99,415,no,no,0,216.8,123,126.4,88,220.6,82,15.7,2,1,False,False,0.00221782736480236
OR,116,415,yes,no,0,215.4,104,204.8,79,278.5,109,12.6,5,3,False,False,0.000143187688081525
WV,113,510,no,no,0,72.5,88,204,112,117.9,118,6.6,3,1,False,False,0.00047330855159089
NC,111,408,no,no,0,224.9,117,191.9,127,229.9,97,10.3,3,0,False,False,0.000674358278047293
MO,112,510,no,yes,36,113.7,117,157.5,82,177.6,118,10,3,2,False,False,0.000365572719601914
DC,17,510,no,yes,30,280,101,258.9,85,230,130,10.3,2,3,False,False,0.00773826939985156
CO,139,415,no,no,0,138.1,103,164.5,100,134.9,63,8.3,2,1,False,False,0.000162632190040313
WA,66,415,no,no,0,205.1,102,232.7,109,259.9,95,9.2,6,2,False,False,0.00755334598943591
NJ,108,415,no,no,0,239.3,102,223.4,127,251.4,104,10.6,6,0,False,False,0.0412888526916504
NJ,126,415,no,no,0,261.6,83,192.9,133,246.9,50,7.3,3,4,False,True,0.93646240234375
DE,115,415,no,no,0,275.5,76,225.8,82,327.3,87,4.8,2,3,True,True,0.999993979930878
MS,144,415,no,yes,26,177.1,94,206,85,254.8,95,6.6,2,2,False,False,0.000699421565514058
OR,151,510,no,no,0,156.4,108,233.4,118,195.7,141,7.7,6,4,False,False,0.369092524051666
OH,146,415,no,no,0,169.5,93,230.9,71,269.8,115,9,7,2,False,False,0.000684321334119886
VA,44,408,no,no,0,204.6,117,205.2,94,164.6,84,10.7,5,0,False,False,0.000643408857285976
WI,66,415,yes,no,0,208.7,84,173.3,88,264.7,107,8.3,3,3,False,False,8.96290366654284E-05
CT,94,415,no,no,0,200.2,113,128.9,116,278.9,109,10.4,5,0,False,False,0.000159674789756536
SD,119,510,no,no,0,94.2,108,264.1,100,203.7,79,7.3,3,1,False,False,0.00136440910864621
OH,144,415,no,yes,18,106.4,109,108.1,113,208.4,111,10.1,5,1,False,False,0.00864794198423624
OH,124,510,no,no,0,193,97,89.8,99,172.8,104,15.3,3,1,False,False,0.00190063996706158
MD,176,408,no,no,0,201.9,101,154.7,78,164.4,79,9,2,1,False,False,0.000669673318043351
NY,21,415,no,no,0,244.7,81,168,117,281.5,87,6.6,1,1,False,False,0.118165656924248
FL,151,415,no,no,0,175.7,91,152.3,127,140,88,10.7,10,1,False,False,0.000399765791371465
AK,156,510,no,no,0,123.7,96,103,80,189.4,82,13.1,4,1,False,False,0.000366522930562496
SC,140,510,no,yes,28,157.1,77,172.4,97,184.5,94,11.1,9,1,False,False,0.000993187888525426
WA,70,415,no,no,0,229.3,110,118.2,89,155,105,7.9,4,1,False,False,0.00011877718497999
OH,102,415,no,no,0,114.8,125,81.9,126,304.3,101,12,4,0,False,False,0.00016404410416726
AZ,136,510,no,no,0,92,117,253.6,77,214.1,90,10.3,10,1,False,False,0.00551278749480844
WY,62,415,no,no,0,116.5,77,186.1,111,180.6,72,16.1,2,3,False,False,0.00011791678116424
IL,74,408,no,no,0,141.9,103,201,110,211.2,117,10.9,11,1,False,False,0.00146411207970232
MO,109,415,no,yes,39,86.4,69,189.1,108,225.4,119,4.8,4,2,False,False,0.000587507209274918
CO,65,510,no,no,0,158.8,53,188.5,132,189.3,87,9.8,4,2,False,False,0.000219964713323861
NE,115,415,yes,no,0,147.7,105,184.1,68,153.5,102,12.7,5,0,False,False,0.000375403731595725
NY,112,415,no,yes,17,120,94,79.5,104,214,94,8.7,1,1,False,False,0.000544595764949918
WV,73,408,no,no,0,177.9,89,131.2,82,186.2,89,11.5,6,3,False,False,0.000341407838277519
VT,122,415,yes,no,0,49.5,114,214.1,98,154.9,120,10,4,0,False,False,0.000267035473370925
MA,102,510,no,no,0,143.7,82,170.9,83,310.9,112,9.8,1,2,False,False,0.00156213506124914
WA,80,510,no,no,0,157,101,208.8,127,113.3,109,16.2,2,2,False,False,0.0211513582617044
VT,95,510,yes,yes,41,136.8,91,200.8,61,133.7,67,10.3,9,5,True,True,0.999937176704407
ME,67,415,no,no,0,208,95,234.8,81,266,80,11.7,6,3,False,False,0.00198477134108543
