X_dataobs_,State,Account_Length,Area_Code,Int_l_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,Intl_Mins,Intl_Calls,CustServ_Calls,Churn_,Assignments
83,KY,74,415,no,yes,35,154.1,104,123.4,84,202.1,57,10.9,9,2,False,3
84,NJ,128,415,no,no,0,237.9,125,247.6,93,208.9,68,13.9,4,1,True,0
85,DC,82,510,no,no,0,143.9,61,194.9,105,109.6,94,11.1,2,1,False,5
86,LA,155,415,no,no,0,203.4,100,190.9,104,196,119,8.9,4,0,True,2
87,AR,80,415,no,no,0,124.3,100,173,107,253.2,62,7.9,9,1,False,1
88,ME,78,415,no,no,0,252.9,93,178.4,112,263.9,105,9.5,7,3,False,0
89,AZ,90,415,no,no,0,179.1,71,190.6,81,127.7,91,10.6,7,3,False,5
90,MT,73,415,no,no,0,160.1,110,213.3,72,174.1,72,13,4,0,False,5
91,AZ,99,415,no,no,0,198.2,87,207.3,76,190.9,113,8.7,3,4,False,5
92,MS,120,408,no,no,0,212.1,131,209.4,104,167.2,96,5.3,5,1,True,5
93,ID,77,415,no,no,0,251.8,72,205.7,126,275.2,109,9.8,7,2,True,0
94,IA,98,510,no,yes,21,161.2,114,252.2,83,160.2,92,4.4,8,4,False,6
95,MA,108,415,no,no,0,178.3,137,189,76,129.1,102,14.6,5,0,False,5
96,VT,135,415,no,no,0,151.7,82,119,105,180,100,10.5,6,0,False,3
97,KY,95,408,no,no,0,135,99,183.6,106,245.3,102,12.5,9,1,False,1
98,IN,122,408,no,no,0,170.5,94,173.7,109,248.6,75,11.3,2,1,False,1
99,AZ,95,408,no,no,0,238.1,65,187.2,98,190,115,11.8,4,4,False,0
100,MI,36,510,no,yes,29,281.4,102,202.2,76,187.2,113,9,6,2,False,0
101,NM,93,510,no,yes,21,117.9,131,164.5,115,217,86,9.8,3,1,False,4
102,CO,141,415,no,yes,32,148.6,91,131.1,97,219.4,142,10.1,1,1,False,2
103,UT,157,408,no,no,0,229.8,90,147.9,121,241.4,108,9.6,7,3,False,2
104,MI,120,408,no,no,0,165,100,317.2,83,119.2,86,8.3,8,1,False,6
105,MA,103,415,no,no,0,185,117,223.3,94,222.8,91,12.6,2,2,False,1
106,AL,98,408,no,no,0,161,117,190.9,113,227.7,113,12.1,4,4,False,1
107,DE,125,408,no,no,0,126.7,108,206,90,247.8,114,13.3,7,1,False,1
108,AZ,63,415,no,no,0,58.9,125,169.6,59,211.4,88,9.4,3,1,False,4
109,ME,36,510,yes,yes,42,196.8,89,254.9,122,138.3,126,20,6,0,True,5
110,NV,74,415,no,no,0,282.5,114,219.9,48,170,115,9.4,4,1,True,0
111,MO,112,510,no,yes,36,113.7,117,157.5,82,177.6,118,10,3,2,False,4
112,ID,97,408,no,no,0,239.8,125,214.8,111,143.3,81,8.7,5,2,False,5
113,NE,46,408,no,no,0,210.2,92,227.3,77,200.1,116,13.1,7,1,False,0
114,TX,41,408,no,yes,22,213.8,102,141.8,86,142.2,123,7.2,3,0,False,5
115,MD,121,510,no,no,0,190.7,103,183.5,117,220.8,103,9.8,4,3,False,2
116,MS,193,415,no,no,0,170.9,124,132.3,95,112.9,89,11.6,3,1,False,2
117,NV,130,510,no,no,0,154.2,119,110.2,98,227.4,117,9.2,5,2,False,3
118,MS,162,415,no,no,0,70.7,108,157.5,87,154.8,82,9.1,3,4,True,4
119,TX,92,408,no,no,0,91.7,90,193.7,123,175,86,9.2,4,2,False,4
120,NE,131,408,no,yes,36,214.2,115,161.7,117,264.7,102,9.5,4,3,False,3
121,NE,90,415,no,no,0,145.5,92,217.7,114,146.9,123,10.9,2,3,False,4
122,CA,75,408,no,no,0,166.3,125,158.2,86,256.7,80,6.1,5,1,False,1
123,NJ,78,415,no,no,0,231,115,230.4,140,261.4,120,9.5,3,1,False,0
124,AR,163,408,no,no,0,197,109,202.6,128,206.4,80,9.1,10,1,False,2
125,AL,91,510,yes,no,0,129.9,112,173.3,83,247.2,130,11.2,3,3,False,1
126,NY,75,415,no,yes,21,175.8,97,217.5,106,237.5,134,5.3,4,5,False,1
127,FL,91,510,no,no,0,203.1,106,210.1,113,195.6,129,12,3,3,False,5
128,AK,127,510,no,yes,36,183.2,117,126.8,76,263.3,71,11.2,8,1,False,3
129,NV,113,415,no,yes,23,205,101,152,60,158.6,59,10.2,5,2,False,5
130,DE,110,510,no,no,0,148.5,115,276.4,84,193.6,112,12.4,3,1,False,6
131,MD,120,415,no,yes,39,200.3,68,220.4,97,253.8,116,10.5,4,0,False,0
132,MI,157,415,no,yes,28,192.6,107,195.5,74,109.7,139,6.8,5,3,False,5
133,VT,103,510,no,no,0,246.5,47,195.5,84,200.5,96,11.7,4,1,False,0
134,VT,117,408,yes,no,0,167.1,86,177.5,87,249.4,132,14.1,7,2,True,1
135,MI,140,415,no,no,0,231.9,101,160.1,94,110.4,98,14.3,6,3,False,5
136,WA,127,408,no,no,0,146.7,91,203.5,78,203.4,110,13.7,3,1,False,2
137,UT,83,408,yes,no,0,271.5,87,216.3,126,121.1,105,11.7,4,1,False,5
138,LA,121,408,no,no,0,181.5,121,218.4,98,161.6,103,8.5,5,1,False,5
139,RI,145,408,no,yes,43,257.7,97,162.1,95,286.9,86,11.1,4,2,False,0
140,IA,113,408,no,no,0,193.8,99,221.4,125,172.3,67,10.6,6,1,False,5
141,NE,117,415,no,no,0,102.8,119,206.7,91,299,105,10.1,7,1,False,1
142,OH,65,408,no,no,0,187.9,116,157.6,117,227.3,86,7.5,6,1,False,3
143,RI,56,415,no,no,0,226,112,248.5,118,140.5,142,6.9,11,1,False,5
144,OK,96,415,no,no,0,260.4,115,146,46,269.5,87,11.5,4,5,False,3
145,LA,151,408,no,no,0,178.7,116,292.1,138,265.9,101,9.8,4,0,False,6
146,OH,83,415,no,no,0,337.4,120,227.4,116,153.9,114,15.8,7,0,True,0
147,FL,115,510,no,yes,24,142.1,124,183.4,129,164.8,114,9.6,4,1,False,4
148,SC,87,415,no,no,0,136.3,97,172.2,108,137.5,101,7.1,5,0,False,4
149,VA,141,415,no,no,0,217.1,110,241.5,111,253.5,103,12,6,0,False,0
150,IA,141,510,no,yes,36,187.5,99,241.4,116,229.5,105,10.5,5,3,False,2
151,MI,62,415,no,no,0,98.9,103,135.4,122,236.6,82,12.2,1,1,False,4
152,OK,146,415,no,no,0,206.3,151,148.6,89,167.2,91,6.1,3,1,False,2
153,DE,92,415,no,yes,33,243.1,92,213.8,92,228.7,104,12.1,2,2,False,0
154,GA,185,510,no,yes,31,189.8,126,163.3,133,264.8,126,7.5,3,1,False,2
155,DC,148,415,no,no,0,202,102,243.2,128,261.3,90,10.9,3,1,False,0
156,AZ,94,408,no,yes,38,170.1,124,193.3,116,105.9,73,12.8,4,1,False,5
157,AL,32,510,no,no,0,230.9,87,187.4,90,154,53,6.3,2,0,False,5
158,CO,68,408,no,no,0,237.1,105,223.5,105,97.4,79,13.2,2,1,False,5
159,NH,64,408,no,yes,27,182.1,91,169.7,98,164.7,86,10.6,5,2,False,5
160,NM,25,415,no,no,0,119.3,87,211.5,101,268.9,86,10.5,4,3,False,1
161,OR,65,415,no,no,0,116.8,87,178.9,93,182.4,150,14.1,2,1,False,4
162,LA,179,408,no,no,0,219.2,92,149.4,125,244.7,104,6.1,5,0,False,2
163,NE,94,415,no,no,0,252.6,104,169,125,170.9,106,11.1,7,2,False,5
164,MN,62,415,no,no,0,147.1,91,190.4,107,195.2,115,12.2,3,0,False,4
165,MI,127,415,no,no,0,202.1,103,229.4,86,195.2,113,11.5,3,2,False,2
166,AR,116,408,no,no,0,173.5,93,194.1,76,208,112,16.2,10,3,False,2
167,WV,94,510,yes,yes,23,197.1,125,214.5,136,282.2,103,9.5,5,4,False,1
168,AK,126,415,no,no,0,58.2,94,138.7,118,136.8,91,11.9,1,5,True,4
169,NH,19,408,no,no,0,186.1,98,254.3,57,214,127,14.6,7,2,False,6
170,VA,170,510,yes,no,0,259.9,68,245,122,134.4,121,8.4,3,3,False,5
171,NM,73,415,no,no,0,214.3,145,268.5,135,241.2,92,10.8,13,1,False,0
172,NY,106,408,no,no,0,158.7,74,64.3,139,198.5,103,10.2,4,1,False,3
173,AZ,93,415,no,no,0,271.6,71,229.4,108,77.3,121,10.9,3,2,False,5
174,WY,164,510,no,no,0,160.6,111,163.2,126,187.1,112,9,3,1,False,2
175,WA,51,408,no,no,0,232.4,109,187.4,95,231.2,107,9.1,3,1,False,0
176,CO,107,415,no,no,0,133.8,85,180.5,94,112.2,115,8.9,4,0,False,4
177,TX,130,415,no,no,0,176.9,109,90.7,104,238,69,9.5,2,1,False,3
178,KY,80,408,no,no,0,209.9,74,195.1,77,208.2,119,8.8,4,2,False,0
179,OK,118,408,no,yes,23,289.5,52,166.6,111,119.1,88,9.5,4,1,False,5
180,MD,117,415,no,yes,23,198.1,86,177,86,180.5,92,6.8,6,1,False,2
181,TN,78,415,no,no,0,149.7,119,182.2,115,261.5,126,9.7,8,0,False,1
182,ME,131,510,yes,yes,26,292.9,101,199.7,97,255.3,127,13.8,7,4,True,0
183,DC,63,408,no,no,0,83,64,177,106,245.7,89,13,3,0,False,1
184,MN,53,415,no,yes,24,145.7,146,220.5,136,249.9,96,13.1,5,3,False,1
185,DE,62,408,no,no,0,182.3,101,328.2,93,245,131,11.2,1,2,False,6
186,MI,105,510,no,no,0,140.6,109,178.6,51,217,83,6.8,3,2,False,4
187,WA,157,415,no,no,0,152.7,105,257.5,80,198.1,93,9.4,4,1,False,6
188,MO,66,415,no,yes,36,106.7,76,209.8,77,190.4,117,12.1,2,1,False,4
189,IN,122,415,no,no,0,243.8,98,83.9,72,179.8,84,13.7,8,2,False,3
190,OR,38,415,no,no,0,194.4,94,186.7,95,223.3,90,10.8,5,3,False,3
191,MD,106,510,no,no,0,213.9,95,151.9,70,260.1,124,12.2,5,3,False,3
192,RI,99,510,no,no,0,217.2,112,246.7,89,226.1,89,15.8,7,3,False,0
193,LA,99,415,no,no,0,241.1,72,155.6,98,188.2,109,11.6,10,1,False,3
194,AZ,144,510,yes,no,0,203.5,100,247.6,103,194.3,94,11.9,11,0,False,2
195,PA,82,415,no,yes,24,155.2,131,244.5,106,122.4,68,10.7,3,1,False,5
196,AZ,86,408,no,yes,31,167.6,139,113,118,246.9,121,12.2,6,1,False,3
197,FL,70,510,yes,no,0,226.7,98,228.1,115,73.2,93,17.6,4,2,True,5
198,LA,93,415,no,no,0,179.3,93,178.6,98,225.2,131,11.5,6,3,False,1
199,FL,93,415,no,no,0,151.4,89,186.4,76,172.5,120,10.9,3,0,False,4
200,FL,120,415,no,no,0,180,80,224.2,82,265.4,91,4.7,7,3,False,1
201,MD,136,415,no,no,0,250.2,121,267.1,118,151,114,13,2,1,True,5
202,AL,106,415,no,no,0,223,121,110.1,98,188.7,107,7.1,12,0,False,3
203,WA,81,415,no,no,0,183.6,116,152.6,98,212.2,99,12.2,6,3,False,3
204,TN,127,408,no,yes,22,166,114,174.5,103,244.9,68,10.2,6,1,False,1
205,MS,65,415,no,no,0,136.1,112,272.9,96,220.2,104,4.4,2,1,False,6
206,ME,35,408,no,no,0,149.3,113,242.2,122,174.3,104,8.9,6,2,False,6
207,OK,88,408,no,no,0,65.4,97,168.2,76,236,113,13.8,1,2,False,4
208,IN,65,415,no,no,0,213.4,111,234.5,94,250.1,123,2.7,4,1,False,0
209,MO,123,415,no,no,0,206.9,85,244.7,78,221.5,136,7.7,2,3,False,0
210,IA,126,408,no,yes,27,186.2,78,189.6,83,76.5,139,9.6,3,2,False,5
211,VA,104,415,no,yes,23,280.2,136,220.5,92,136.9,102,13.3,3,4,False,5
212,KY,45,415,no,yes,22,196.6,84,313.2,92,163.3,108,11.9,3,0,False,6
213,MD,93,408,yes,no,0,312,109,129.4,100,217.6,74,10.5,2,0,True,3
214,OH,63,415,yes,yes,36,199,110,291.3,111,197.6,92,11,6,1,False,6
215,OK,100,415,no,no,0,203.1,96,217,126,180.9,122,13.5,2,3,False,5
216,NV,53,415,no,no,0,168.8,97,220.3,87,154.3,113,10.9,2,0,False,5
217,ID,92,415,yes,no,0,173.1,140,240.3,105,233.2,117,9,5,1,False,1
218,SD,110,408,no,yes,40,202.6,103,118.8,128,234.9,98,9,9,2,False,3
219,IL,110,408,no,no,0,74.5,117,200.8,98,192.2,101,9.8,7,3,False,4
220,WY,215,510,no,no,0,83.6,148,120.9,91,226.6,110,10.7,9,0,False,2
221,AL,73,415,no,no,0,192.2,86,168.6,116,139.8,87,9.4,6,1,False,5
222,NJ,138,510,no,no,0,220.2,89,88.3,125,195.3,79,12.9,5,0,False,3
223,NV,137,415,yes,no,0,135.1,95,134.1,102,223.1,81,12.3,2,2,True,2
224,IN,36,415,no,no,0,253.4,77,182.4,151,275.8,103,8.4,2,1,False,0
225,WV,85,408,no,no,0,225,81,176.9,63,194.3,110,7.1,2,3,False,3
226,VA,108,408,no,no,0,198.5,99,267.8,60,354.9,75,9.4,3,0,True,1
227,SC,22,408,no,no,0,110.3,107,166.5,93,202.3,96,9.5,5,0,False,4
228,IN,51,510,no,no,0,214.8,94,149.7,58,283.4,66,10.2,5,0,False,3
229,AZ,94,408,no,no,0,181.8,85,202.4,98,245.9,97,9.2,2,4,False,1
230,OR,33,415,no,yes,29,157.4,99,117.9,80,279.2,79,13.9,11,4,True,3
231,NJ,106,415,no,no,0,207.9,91,172,109,191.8,143,14.4,7,4,False,3
232,MS,82,408,no,no,0,207,90,232.9,83,172.4,108,9.1,8,3,False,5
233,MI,86,510,no,yes,41,119,101,230,134,236.9,58,9.5,3,0,False,1
234,TX,97,415,yes,no,0,143.7,117,273,82,178.3,81,10.9,3,0,False,6
235,DC,108,510,no,no,0,138.6,122,172.3,117,231.6,92,9.8,3,1,False,1
236,TX,114,415,no,no,0,84.7,118,249.9,86,193.4,95,14.5,8,1,False,6
237,KS,92,408,yes,no,0,62.6,111,180.6,126,221.7,80,10.4,2,1,True,4
238,UT,59,510,no,no,0,155.2,79,235.3,123,169.4,80,8.7,4,1,False,6
239,MN,24,510,no,yes,25,164.9,110,209.3,105,231.2,55,6.7,9,1,False,1
240,IL,151,408,no,no,0,134.5,88,143.1,112,223.9,61,15.4,1,1,False,2
241,NM,117,415,no,no,0,143.3,103,211.3,108,185.2,96,11.5,3,1,False,4
242,SC,78,510,no,no,0,168.3,110,221.2,73,241,136,12.5,1,1,False,1
243,NC,155,408,no,no,0,262.4,55,194.6,113,146.5,85,8.3,6,2,False,5
244,WV,114,510,no,yes,30,206.2,79,260,91,291.6,83,11.4,6,1,False,0
245,RI,114,510,no,yes,28,225.8,94,193,117,232.4,100,8.4,9,4,False,0
246,NH,119,408,no,no,0,138.3,89,170.5,78,263.9,98,13.5,6,3,False,1
247,MO,64,510,no,yes,48,94.4,104,136.2,101,147.4,89,4.5,4,0,False,4
248,MA,118,408,yes,no,0,160,123,175.4,96,184.8,99,9.9,3,2,False,2
249,OK,117,415,no,no,0,134.7,121,180,83,200.9,104,7.7,3,1,False,4
250,AL,49,415,no,yes,28,214.4,78,235.2,100,206.2,107,8,13,3,False,0
251,WY,139,415,no,no,0,192.8,104,234.4,96,203.2,101,13,3,3,False,2
252,PA,92,408,no,yes,28,151.1,90,194.8,79,239.2,114,10,3,1,False,1
253,WA,83,415,no,no,0,221.4,103,231.8,103,122.5,100,9.8,5,3,False,5
254,HI,148,510,yes,no,0,218.9,88,208,85,203.3,99,11.1,4,0,False,2
255,SD,144,408,no,yes,48,189.8,96,123.4,67,214.2,106,6.5,2,2,True,3
256,AL,131,415,no,yes,25,192.7,85,225.9,105,254.2,59,10.9,6,2,False,1
257,MT,143,415,no,no,0,172.3,97,174,108,188.2,119,13,4,2,False,2
258,MN,81,415,no,no,0,198.4,93,210.9,108,193.3,71,10.4,6,2,False,5
259,MI,86,415,no,yes,28,221.6,74,288.4,100,240.3,105,9,2,1,False,0
260,DE,71,415,no,no,0,197.9,108,181.5,109,281.4,56,6.7,5,3,False,1
261,SD,145,408,no,yes,24,147.5,90,175.7,108,252.1,102,15.6,3,2,False,1
262,MI,137,510,no,no,0,206.4,122,128,102,194.5,84,8.8,5,2,False,3
263,KS,137,408,no,no,0,205.9,88,209.3,86,289.9,84,14.5,4,2,False,1
264,AL,167,510,no,no,0,207.6,88,132.4,63,255.2,98,14.1,5,0,False,2
265,OK,89,510,no,no,0,303.9,95,260.9,114,312.1,89,5.3,3,1,True,0
266,CT,199,415,no,yes,34,230.6,121,219.4,99,299.3,94,8,2,0,False,2
267,NE,132,510,no,no,0,99.5,110,129.1,80,125.1,124,9.7,3,0,False,4
268,WI,94,510,no,no,0,177.1,112,194,112,146.7,108,5.9,4,1,False,5
269,CT,96,415,no,yes,37,172.7,93,120.1,116,216.1,86,10.3,5,5,True,3
270,WI,96,510,no,yes,18,172.7,86,133.4,113,259.5,70,9.8,3,1,False,3
271,IN,166,510,no,no,0,204.2,115,179.9,152,216.8,109,9.5,5,1,False,2
272,DC,74,415,no,no,0,85.7,83,247.7,67,142.4,85,10.1,5,2,False,4
273,AR,36,415,no,no,0,157.6,117,184.3,58,240.4,99,11.9,1,0,False,1
274,ME,113,415,no,no,0,215.5,129,218.7,117,207.1,91,6.6,9,4,False,0
275,MN,94,415,no,no,0,181.5,98,199.9,88,287.7,114,6.6,5,1,False,1
276,MD,67,415,no,no,0,171.7,80,110.4,81,195.4,111,11.9,4,2,False,3
277,FL,127,415,no,no,0,266.6,106,264.8,168,207.2,119,5.9,2,1,True,0
278,RI,121,408,no,no,0,170.4,108,350.5,68,297,87,11.2,3,0,True,6
279,IA,158,415,no,no,0,158,106,292.5,114,241.1,89,9.1,4,1,False,6
280,AZ,136,510,no,no,0,92,117,253.6,77,214.1,90,10.3,10,1,False,6
281,MO,196,415,no,no,0,234,109,249.5,114,173.1,70,9.1,5,2,False,2
282,VT,113,415,no,no,0,272.1,111,268.5,118,213.8,105,8.5,10,1,True,0
283,RI,112,510,no,no,0,194.4,101,190.3,82,183.4,107,11.4,2,0,False,2
284,SD,209,415,no,no,0,227.2,128,258.4,92,183.5,74,8.9,4,3,False,2
285,MN,62,415,no,no,0,248.7,109,220,118,265.7,78,13.2,2,1,True,0
286,TX,110,415,no,yes,38,236.3,102,195.9,112,183.5,82,9.7,6,1,False,0
287,VA,16,510,no,no,0,205.6,69,169.5,93,220.1,64,10.9,3,0,False,3
288,MA,73,408,no,no,0,94.1,136,280.3,122,205,77,9.8,4,0,False,6
289,ID,128,408,no,no,0,125.2,99,205.4,107,254.4,111,18.9,2,0,False,1
290,MA,39,408,no,no,0,60.4,158,306.2,120,123.9,46,12.4,3,1,False,6
291,GA,103,415,no,yes,28,121,105,270.4,100,160.5,76,7.7,4,2,False,6
292,RI,119,415,no,yes,29,117.8,66,256.8,114,147.6,76,7.6,3,3,False,6
293,ID,173,510,no,yes,21,232.4,96,211.9,118,273,102,5,5,3,False,0
294,SD,128,510,yes,yes,32,223.5,81,188.8,74,154.9,101,9.4,2,2,True,5
295,MA,86,510,no,no,0,176.3,79,259.2,97,287.4,78,6.2,3,0,False,1
296,WY,114,415,no,yes,32,125.2,79,177.8,105,232.4,89,12.9,3,1,False,1
297,VA,104,408,no,no,0,138.7,107,256.9,113,234.9,74,10,3,0,False,6
298,OR,148,415,no,no,0,86.3,134,246.6,92,251.6,91,11.3,4,1,False,1
299,VA,129,408,no,no,0,207,91,154.9,121,245.1,112,13.4,5,3,False,3
300,ME,100,510,no,yes,30,58.8,104,219.5,107,152.3,118,7.1,3,0,False,4
301,AL,121,408,no,yes,35,68.7,95,209.2,69,197.4,42,11.4,4,1,False,4
302,GA,143,408,no,yes,33,239.2,109,235.5,112,156.3,95,9.5,4,1,False,5
303,IA,76,510,no,no,0,198.3,130,217.1,86,188.4,96,12.5,3,0,False,5
304,FL,116,510,no,no,0,192.1,98,312.9,135,130.2,94,7.9,2,3,False,6
305,MT,54,415,no,no,0,272.6,83,248.7,74,197.4,111,9.5,2,1,True,0
306,AL,86,415,no,no,0,128.3,121,197.1,93,138.4,152,12.2,5,7,True,4
307,DE,108,510,no,no,0,169.6,99,264.1,87,206.3,78,9.3,4,0,False,6
308,MT,66,510,no,no,0,201.3,95,152.8,66,233.2,101,7.5,4,1,False,3
