State,Account_Length,Area_Code,Int_l_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,Intl_Mins,Intl_Calls,CustServ_Calls,Churn_,Scored Labels,Scored Probabilities
OK,127,408,no,no,0,212.9,92,260.1,124,177.6,85,8.6,2,2,False,False,0.000698814692441374
OR,72,510,no,no,0,141.3,133,134.9,96,227.5,97,11.2,3,2,False,False,0.000427990395110101
MD,116,408,no,no,0,254.6,107,249.4,89,229.6,77,9,18,2,True,True,0.999927163124084
AK,59,408,no,no,0,159.5,96,167.2,123,138.6,106,10.2,4,0,False,False,0.000377566408133134
WA,64,510,no,no,0,50.6,91,308.9,78,255.4,114,13.7,5,2,False,False,0.0036708249244839
RI,123,415,no,yes,27,218.7,79,163.4,78,173.8,116,15,1,0,False,False,0.015542165376246
WI,90,415,no,no,0,200.9,92,164.3,91,249,98,8.9,7,1,False,False,0.000548564770724624
WI,120,415,no,yes,29,244.3,140,322.3,89,166.8,83,10.6,6,0,False,False,0.00140379357617348
LA,158,408,no,no,0,202,126,163.5,86,195.4,84,10.4,6,1,False,False,0.00502763688564301
IL,135,415,no,no,0,247.2,61,168.7,122,169.8,100,6.6,1,0,False,False,0.000483399140648544
MS,69,510,no,yes,27,268.8,78,246.6,89,271.9,102,16.4,3,0,False,False,0.000314957113005221
NY,76,415,no,no,0,201.5,127,155.2,91,249.6,103,8.6,1,2,False,False,0.000522737042047083
MS,13,415,no,no,0,303.2,133,170.5,86,227.6,80,11.5,3,0,True,True,0.999931335449219
NE,67,415,no,yes,41,174.7,86,160.6,93,155.3,108,13.4,1,0,False,False,0.000169041915796697
MT,173,510,no,yes,20,60.2,100,118.1,76,230.1,131,13.3,4,1,False,False,0.000321251776767895
WV,145,408,no,yes,31,216,94,225.1,123,234.7,109,10.7,1,2,False,False,0.000783309806138277
AR,76,408,no,no,0,107.3,140,238.2,133,271.8,116,10,3,4,True,True,0.999996900558472
MA,62,415,yes,no,0,159.7,86,197.5,76,121.6,105,13.9,6,0,True,True,0.999979674816132
CA,90,510,no,yes,22,187.9,121,209.9,101,256.7,102,10.4,5,2,False,False,0.00260824873112142
WA,110,415,no,no,0,241.2,105,174.3,85,245.3,59,8.5,4,2,False,False,7.27647711755708E-05
ME,163,415,no,yes,30,195.2,123,126.4,115,221,90,9,5,5,True,True,0.998250126838684
NV,3,510,no,yes,27,67.4,116,244,78,281.1,93,11.4,2,2,False,False,0.000598931859713048
VA,68,408,yes,no,0,148.5,126,219.4,125,198.5,121,14.5,7,1,True,True,0.999953925609589
TN,93,415,no,yes,21,213.8,103,257.7,72,218.4,114,7.2,6,1,False,False,0.00130642927251756
OH,106,415,no,yes,30,220.1,105,222.2,109,158.4,96,13.1,8,0,False,False,0.00215282011777163
IA,52,510,no,yes,24,229.1,86,168.7,124,245.4,75,14.6,2,1,False,False,5.90675117564388E-05
SC,106,510,no,no,0,168.4,85,123.3,95,162.5,83,4.6,4,3,False,False,0.000258529034908861
SC,1,408,no,no,0,123.8,113,236.2,77,73.2,81,3.7,2,0,False,False,0.000169880629982799
WV,127,510,no,no,0,224.3,112,185.7,103,159.4,83,10,1,2,False,False,0.00113246019463986
MN,30,408,no,no,0,54,68,179.3,96,247.2,101,10.2,8,1,False,False,0.00322392606176436
CO,68,408,no,no,0,237.1,105,223.5,105,97.4,79,13.2,2,1,False,False,3.58125289494637E-05
GA,98,408,no,no,0,126.3,102,166.8,85,187.8,135,9.4,2,3,False,False,0.000220256566535681
RI,90,510,no,yes,19,214,57,245.3,105,205.6,68,10.3,2,1,False,False,0.000392363726859912
IA,126,408,no,yes,27,186.2,78,189.6,83,76.5,139,9.6,3,2,False,False,0.000260567467194051
TN,3,415,no,no,0,185,120,203.7,129,170.5,89,14.1,3,3,False,False,0.000327722518704832
MA,39,408,no,no,0,60.4,158,306.2,120,123.9,46,12.4,3,1,False,False,0.00181396922562271
UT,73,415,no,no,0,182.3,115,199.2,97,120.2,113,18,5,1,False,False,0.00113998190499842
MD,79,415,no,no,0,81.2,91,215.7,126,245.9,85,10.9,4,1,False,False,0.00201709987595677
CT,127,408,no,no,0,155.8,91,103.7,85,117.2,125,8.6,3,2,False,False,0.00218260171823204
WA,63,408,no,no,0,149.3,104,273.6,75,206.6,72,9.1,4,0,False,False,0.00245482800528407
TX,104,510,no,no,0,111.9,105,197.7,121,302.8,108,10.1,5,1,False,False,0.000778480723965913
WA,152,510,no,no,0,161.4,84,163.6,88,153.2,121,11.8,5,1,False,False,0.0130571508780122
MT,100,415,no,no,0,96.5,86,210.2,133,146.4,106,12.5,3,1,True,True,0.975361824035645
WA,137,408,no,no,0,208.8,120,225.3,100,221.6,130,11.1,5,0,False,False,0.000506332027725875
MO,101,415,no,yes,29,121.1,116,186.4,100,241.7,75,10.1,6,0,False,False,0.00179810542613268
MI,133,415,no,no,0,165.9,98,161.9,110,208.9,120,11.2,11,2,False,False,0.00120252068154514
AK,121,415,no,no,0,180,116,196.4,112,280.3,95,10.1,5,2,False,False,0.00471753440797329
MS,124,415,no,no,0,251.5,85,214.2,98,186.1,71,11.1,6,3,False,False,0.00615289155393839
CT,103,510,no,no,0,160.2,104,138.9,70,312.5,97,9.7,2,0,False,False,0.000298116181511432
SC,78,510,no,no,0,168.3,110,221.2,73,241,136,12.5,1,1,False,False,0.0082321809604764
WI,105,408,no,no,0,147.7,103,222.7,78,163.5,102,12.8,3,2,False,False,0.00112110876943916
WV,73,415,no,no,0,240.3,130,162.5,83,231.9,136,11.9,3,0,False,False,0.00010970496077789
WV,159,415,no,no,0,169.8,114,197.7,105,193.7,82,11.6,4,1,False,False,0.00470415409654379
IN,104,408,no,no,0,280.4,127,179.4,79,150.6,77,15.2,6,5,False,False,0.00878647714853287
TN,102,415,no,no,0,183.2,112,187.5,113,232.3,77,9.2,5,1,True,True,0.950213849544525
CO,121,408,yes,no,0,167.7,94,93.7,121,241.3,115,13.4,1,3,True,True,0.999991118907928
NH,201,510,no,no,0,159.9,61,237.3,124,290.2,99,13.4,4,3,False,False,0.0025839030276984
WI,107,408,no,no,0,134,104,174.5,94,311.1,79,7.3,3,3,False,False,0.00023149317712523
NJ,85,415,no,no,0,236.9,93,197.7,113,309.1,78,11.4,7,2,True,True,0.995015144348145
SC,84,415,no,no,0,274.1,119,144.1,123,268.2,100,9.9,5,2,False,False,0.00397254386916757
NM,147,510,no,no,0,248.6,83,148.9,85,172.5,109,8,4,3,False,False,8.40613938635215E-05
IA,86,408,no,no,0,126.3,115,168.8,112,154.6,95,9.8,7,2,False,False,0.000322982290526852
PA,128,408,yes,no,0,245.2,112,101.5,101,152.3,116,10.7,5,0,False,False,2.04967855097493E-05
VA,95,415,no,no,0,197,88,190.4,68,211.9,104,16.1,8,0,False,False,0.000417950417613611
MA,93,415,no,no,0,173,131,190.4,108,290,66,10.4,2,0,False,False,0.000181724855792709
AR,57,415,no,yes,23,208.7,57,233.4,132,108.8,117,9.1,5,1,False,False,0.000104179205663968
GA,50,408,no,yes,24,214.3,129,289.8,55,312.5,130,10.6,4,1,False,False,0.000801650283392519
MT,127,408,no,no,0,271.2,110,213.5,80,201.8,102,13.2,4,0,True,True,0.999668478965759
OK,52,415,no,no,0,124.9,131,300.5,118,192.5,106,11.6,4,2,False,False,0.000189525831956416
WV,119,415,no,yes,32,186.4,75,206.9,92,150.6,80,12.1,2,1,False,False,0.000802398892119527
GA,89,415,no,no,0,213,63,176.6,71,262.6,126,9.1,1,1,True,True,0.982603073120117
FL,108,510,no,no,0,210.7,112,238.7,73,253.6,90,9.2,5,3,False,False,0.000991239561699331
CO,141,415,no,no,0,126.9,98,180,62,140.8,128,8,2,1,False,False,0.000191633007489145
SD,124,408,yes,yes,29,187.1,75,148.5,142,214.4,124,5.5,7,2,False,False,2.60053948295536E-05
AL,83,408,no,no,0,202.3,87,201.5,111,101.7,82,6.8,4,0,False,False,0.000338638608809561
PA,43,408,no,no,0,212.5,88,274.1,145,194.6,52,8.6,6,0,False,False,0.00127018813509494
AL,115,415,no,no,0,265.9,112,132.9,94,185.2,106,14.6,7,1,False,False,0.000311909301672131
WY,109,415,yes,yes,46,165.2,85,136,92,184.8,100,11.9,5,1,False,False,0.000126894781715237
AL,82,415,no,no,0,273.8,99,123.8,110,147.7,61,6.9,4,2,False,False,3.87266445613932E-05
KS,117,415,no,no,0,184.8,83,248.6,101,133.1,113,9.6,8,1,False,False,0.00071270065382123
UT,91,510,no,no,0,123.8,107,319,125,237.6,78,7.3,4,2,False,False,0.000463152275187895
TN,39,510,no,no,0,189.6,89,251.6,116,230.9,105,5.4,8,3,False,False,0.000126214683405124
HI,135,415,no,no,0,190.9,44,161.4,109,231.9,100,8.4,2,1,False,False,0.000122965444461443
NC,130,408,yes,no,0,216.2,106,363.7,86,126.7,123,16.9,2,5,True,True,0.999951601028442
LA,123,510,no,yes,32,212.3,77,251.5,78,208.7,85,6.6,2,3,False,False,0.00724524585530162
LA,87,415,no,no,0,228.7,90,163,99,154.1,90,11.8,3,1,False,False,0.000309192400891334
TN,120,408,yes,no,0,179.9,72,170,98,190.6,89,13.8,2,1,True,True,0.999940156936646
MT,73,415,no,yes,33,129.8,112,225.3,96,262.5,104,8.6,3,1,False,False,0.00129295559599996
PA,142,408,no,no,0,128.5,95,192.6,91,79,95,9.2,6,2,False,False,6.32125666015781E-05
FL,95,408,no,yes,45,116.4,115,283.7,123,285.2,103,12.8,4,1,False,False,0.00026328710373491
HI,63,415,no,no,0,112.5,95,211.2,67,227.5,96,11.1,8,0,False,False,0.00233840686269104
WV,74,510,no,no,0,124,102,262.1,101,268.2,98,11.7,2,2,False,False,0.000264983216766268
WV,124,415,no,no,0,312,112,180,109,168.6,94,12.8,4,1,True,True,0.999708116054535
ID,127,408,no,no,0,189.7,110,142.4,116,175.2,79,8.5,8,2,False,False,0.00078013603342697
OR,1,415,no,no,0,195,81,266.2,123,213.9,132,11.1,6,0,False,False,0.000541673914995044
DE,129,510,no,no,0,334.3,118,192.1,104,191,83,10.4,6,0,True,True,0.999999165534973
WV,59,510,no,no,0,189.7,100,115.9,133,220.6,115,7.4,4,0,False,False,0.000600821280386299
LA,118,408,no,no,0,187.4,97,177.8,89,233.4,97,12.2,6,1,False,False,0.0339405126869679
CA,158,510,no,no,0,155.9,123,224.2,112,221,116,8.6,8,2,False,False,0.000893200107384473
KY,124,408,no,no,0,156.9,74,195.8,82,181,99,8.8,2,1,False,False,0.000547158648259938
GA,112,415,no,yes,22,181.8,110,228.1,123,262.7,141,9.2,4,2,False,False,0.000174831744516268
ME,112,415,no,no,0,185.4,114,191.4,119,144,78,10,11,2,False,False,0.00172773434314877
AR,109,415,no,yes,29,111.2,90,263.5,98,224.7,128,9,6,6,True,True,0.999365925788879
MS,130,510,no,no,0,203.9,63,191.8,93,132.5,125,12.1,4,3,False,False,0.0155556872487068
NM,174,415,no,no,0,239.2,72,188.5,124,105.6,116,8.8,3,1,False,False,0.000381581630790606
DE,139,408,no,no,0,139,110,132.9,93,272,120,12.1,1,0,False,False,0.000174589396920055
RI,101,408,yes,yes,35,181,88,222.5,113,217.8,103,11.1,3,1,False,False,0.000141414755489677
WV,69,415,yes,no,0,176.8,89,196,89,232.6,151,13.1,5,1,True,True,0.999927461147308
WV,78,408,no,no,0,226.3,88,306.2,81,200.9,120,7.8,11,1,True,True,0.998159229755402
LA,90,408,no,no,0,140.8,109,303,114,267.4,112,14.1,1,0,False,False,0.00468381401151419
NM,118,415,no,yes,42,148.7,105,167.3,105,270.6,105,10.4,7,0,False,False,0.000334808835759759
MS,143,510,no,no,0,155.4,112,290.9,92,228.4,91,13.9,5,1,False,False,0.00345408055000007
KY,64,415,yes,no,0,146.7,83,148.3,91,238.6,69,12.5,3,3,False,False,0.000188616686500609
SC,109,415,no,no,0,222.5,74,169.7,75,264.3,94,9,3,2,False,False,0.000438476243289188
WY,46,510,yes,yes,27,170.9,73,184.7,77,130.8,94,6.1,7,2,False,False,5.10950121679343E-05
IA,76,510,no,no,0,198.3,130,217.1,86,188.4,96,12.5,3,0,False,False,0.00152987416367978
ID,99,408,no,no,0,159.7,83,155.4,121,255.7,114,8.4,3,1,False,False,0.000389316788641736
MD,117,415,no,no,0,223.7,73,205.2,69,282.9,51,11.1,1,2,False,False,0.000456037290859967
MD,147,408,no,no,0,274,92,231.8,82,283.6,83,6.2,1,0,True,True,0.999985873699188
SD,69,408,no,yes,33,170.2,113,192.4,69,112,108,13,1,2,False,False,0.000107084080809727
KS,74,415,no,yes,32,174.6,107,310.6,115,234.7,92,9,4,1,False,False,0.00108850398100913
WA,121,408,no,no,0,207.9,98,210.5,96,109.6,114,7.7,2,2,False,False,0.000142270437208936
AK,104,415,no,no,0,174.1,97,174.6,104,182.7,158,9.3,4,3,False,False,0.00095800863346085
UT,167,415,no,no,0,94.9,114,315.8,105,181,71,10.8,6,0,False,False,0.00260856538079679
OH,56,408,no,no,0,91.1,90,179.3,115,300.7,89,11.9,8,2,False,False,0.000539362255949527
GA,80,408,no,no,0,142.9,70,221.6,83,121.4,111,15.2,4,1,False,False,0.000332647992763668
MS,78,415,no,yes,13,281.2,93,178.2,101,244.2,129,6.4,5,2,False,False,0.00773744285106659
ND,152,408,no,no,0,298.1,113,228,119,228.1,98,8.2,4,4,True,True,0.999936580657959
ID,31,415,no,no,0,177.3,129,152.8,105,162.9,92,5.1,2,0,False,False,0.000326110370224342
DE,136,408,yes,yes,29,85.2,98,230.4,85,243.6,104,9,3,2,False,False,0.000115136776003055
WV,64,415,no,no,0,160.6,110,171.9,97,105.2,56,7.3,2,0,True,True,0.94487464427948
WV,66,415,no,no,0,239.6,120,230.3,110,153,82,8.6,3,1,False,False,0.000482864765217528
DE,129,408,no,no,0,161.3,122,220.6,95,224.7,104,9.6,3,1,False,False,0.00136258581187576
MD,83,408,no,yes,38,107.9,90,140.4,94,253.6,79,10.5,2,0,False,False,0.0011877795914188
NM,117,415,no,no,0,143.3,103,211.3,108,185.2,96,11.5,3,1,False,False,0.000896008335985243
NE,86,408,no,no,0,83.8,121,240.2,96,158.6,108,6.7,8,1,False,False,0.000792665872722864
ME,75,408,yes,no,0,211.3,61,105.6,119,175.9,63,9.7,4,4,True,True,0.997877180576324
TN,161,415,no,no,0,198,90,186.4,102,219.2,90,9.3,2,1,False,False,0.016708804294467
WY,90,510,no,no,0,125.4,158,269.1,83,238.6,103,11,7,1,False,False,0.00160467450041324
MS,57,415,no,yes,36,244.5,94,161.2,113,184.3,105,9.7,3,1,False,False,5.05480638821609E-05
NJ,134,415,no,yes,32,224,75,97.5,103,211.6,80,10.7,5,2,False,False,0.000463472970295697
VT,72,415,no,no,0,139.9,117,223.6,96,240.8,93,12.7,4,2,False,False,0.000348459085216746
SC,40,415,no,no,0,309.4,86,271.3,98,197.1,116,11.2,5,3,True,True,0.999998509883881
AR,112,510,no,no,0,136.1,95,163.8,111,157.2,118,8.9,5,1,False,False,0.000318754959153011
DE,89,408,no,no,0,197.1,110,165.9,115,227.3,106,12.8,3,1,False,False,0.000340295169735327
CA,91,510,no,no,0,172.5,56,276.5,70,180.9,90,6.9,2,3,False,False,0.000916772754862905
PA,78,408,no,yes,28,246,136,147.5,99,118.8,99,4,2,2,False,False,6.43562598270364E-05
AK,42,415,no,no,0,171,129,183.9,96,130.2,90,4.6,6,0,False,False,0.000171299718203954
IL,87,510,no,no,0,231.3,105,171.7,108,67.7,136,13,6,1,False,False,0.000228599979891442
WV,106,510,no,no,0,194.8,133,213.4,73,190.8,92,11.5,7,0,False,False,0.00254188827238977
MN,178,510,no,no,0,225.4,104,110.7,90,134.1,109,15.3,5,2,True,True,0.992531478404999
WI,137,510,no,no,0,155.5,81,133.1,94,253.1,77,9.1,2,1,False,False,0.000523181806784123
MN,138,510,no,no,0,54.8,123,147.5,76,173.6,119,11.5,1,1,False,False,0.000235372150200419
AZ,122,510,no,yes,22,204.5,92,139.6,121,205,103,8.6,5,2,False,False,0.000175491033587605
VA,67,408,no,no,0,176.2,120,236,138,152.5,104,10.6,4,1,False,False,0.000240673631196842
CO,192,415,no,no,0,221.6,101,285.2,50,167.4,83,12.7,6,4,False,False,0.000112895846541505
NH,130,408,no,no,0,68.4,86,193.3,110,171.5,139,10.4,4,0,False,False,0.00125434726942331
NH,114,415,no,no,0,169.6,85,58.9,86,179.3,124,7.4,8,1,False,False,0.00110621005296707
MS,101,408,no,no,0,239,156,273,106,278.2,93,13.5,8,1,True,True,0.999992251396179
MA,110,408,no,no,0,272.5,113,288.9,113,172.4,96,10.1,5,2,True,True,0.99999338388443
SC,101,415,no,no,0,158.4,92,188,117,219.7,125,13.5,4,4,True,True,0.999466121196747
DC,61,415,no,no,0,140.6,89,172.8,128,212.4,97,13.6,4,1,False,False,0.000378026597900316
IL,67,415,no,no,0,109.1,117,217.4,124,188.4,141,12.8,6,0,False,False,0.000711604894604534
UT,188,408,no,no,0,231.1,92,182.4,93,227.2,89,9.8,5,4,False,False,3.37694073095918E-05
AZ,97,415,no,no,0,100.8,74,233.8,88,208.7,79,12.6,3,2,False,False,0.00034003535984084
CO,192,415,no,no,0,185,88,224.9,98,212.4,105,11.4,3,2,False,False,0.004147341940552
DE,148,510,no,no,0,230.6,92,185.6,97,183.2,79,6.2,4,2,False,False,0.000158749680849724
IN,87,510,no,no,0,189.5,113,204.9,100,221.7,93,13.4,3,1,False,False,0.000401975848944858
ME,100,510,no,no,0,264.5,117,194,111,262.7,111,7.5,4,2,True,True,0.999130845069885
NV,134,408,no,no,0,177.1,120,218.1,123,183.8,93,12.7,5,3,False,False,0.00891561526805162
PA,96,415,no,yes,28,66.6,147,297,121,144.2,106,13,3,2,False,False,0.000260121974861249
NY,157,415,no,no,0,224.5,111,200.7,99,116.6,118,11.5,2,2,False,False,0.00117145606782287
ID,83,415,yes,yes,32,94.7,111,154.4,98,200.4,109,10.6,6,2,False,False,0.000211544800549746
SC,152,408,no,no,0,140.5,92,186.8,96,227,89,9.5,5,2,False,False,0.000448338279966265
ND,60,510,no,no,0,203.2,99,235.8,131,224.9,112,15.1,6,2,False,False,0.00154385878704488
MO,154,415,no,no,0,162,87,199.5,147,243,66,1.1,5,1,False,False,0.000244213762925938
LA,137,408,no,no,0,151.8,90,229.6,68,171.8,122,10.8,5,2,False,False,0.00109971838537604
IL,124,510,no,no,0,133.2,80,144.2,98,261,102,12,3,3,True,True,0.924666047096252
NC,80,415,yes,no,0,189.1,122,223.2,92,269,116,13.9,3,2,True,True,0.999899208545685
IA,113,510,no,no,0,156,141,256.8,72,175.3,123,11.9,5,2,False,False,0.00042844025301747
MI,132,408,no,no,0,291.2,104,234.2,132,191.7,87,8.9,3,1,True,True,0.999996244907379
TX,52,415,no,no,0,188.7,99,210.4,89,191.4,103,10.8,2,1,False,False,0.000734130153432488
NV,115,415,no,no,0,184.1,98,327,73,212.5,106,7.5,6,2,False,False,0.00118678354192525
RI,102,510,no,no,0,184.6,133,166.8,94,225.2,105,6.8,8,1,False,False,0.00382920447736979
WV,133,510,no,no,0,176.8,92,187.5,97,196.8,88,6.5,3,2,False,False,0.000542679277714342
OK,52,510,no,no,0,153.7,100,174.2,139,242.3,53,14.1,3,1,False,False,0.000271650496870279
OH,135,415,no,no,0,173.4,107,222,84,64.2,94,13.7,6,1,False,False,0.000430516724009067
MT,171,408,no,no,0,171.9,99,249.2,95,174.9,81,12.5,4,1,False,False,0.000647346780169755
AR,118,415,no,no,0,267.8,145,316.4,121,208.6,91,14.4,11,5,True,True,0.999943435192108
IN,78,415,no,no,0,208.9,119,252.4,132,280.2,120,12.8,7,0,False,False,0.014432474039495
ND,57,415,yes,no,0,227.4,94,146.4,115,211.4,92,8.3,5,1,False,False,1.56068763317307E-05
MN,103,415,no,no,0,198.5,112,42.5,90,179.2,124,12.4,5,0,False,False,0.0012609506957233
MA,135,415,no,yes,45,241.4,102,206.4,78,196.6,104,9.4,6,0,False,False,0.00161308178212494
RI,42,415,no,no,0,251.1,81,178.3,106,184.6,90,12.7,5,0,False,False,9.62349440669641E-05
MO,137,510,no,no,0,79.5,121,164.1,86,121.8,108,11.7,7,2,False,False,0.000262093759374693
MA,117,408,no,no,0,240.2,110,187.9,65,152.7,102,7,19,3,False,False,0.000605002278462052
WV,92,415,no,yes,47,141.6,95,207.9,130,203.6,95,10.2,11,0,False,False,0.00119919318240136
NH,106,510,no,no,0,170.6,116,259.1,115,214.2,111,9.6,13,1,False,False,0.00220694183371961
FL,190,415,no,no,0,196.1,95,228.3,88,243.6,95,7.6,3,3,False,False,0.000404253485612571
PA,136,408,no,no,0,102.1,75,219.5,97,73.7,92,9.8,5,0,False,False,7.71592676755972E-05
AR,116,408,no,no,0,85.8,88,115.8,112,195.9,91,11,2,1,False,False,0.000477345718536526
IN,63,510,no,no,0,6.6,107,359.3,142,252.5,131,5.6,3,0,False,False,0.000506824173498899
IN,52,415,no,no,0,165.9,122,212.2,107,202.1,94,8.3,3,1,False,False,0.000457945803645998
FL,64,408,no,yes,31,228.6,88,248.5,109,167.1,124,9,1,3,False,False,0.000111088134872261
WV,67,415,no,yes,30,129.6,107,233,104,297,93,14.5,5,1,False,False,0.000144464560435154
MN,61,415,no,no,0,197.3,67,264.5,106,210.5,116,9,6,1,False,False,0.000747204408980906
RI,39,408,no,no,0,93.3,83,199.6,114,206.2,104,6.5,4,0,False,False,0.000812082551419735
CT,40,510,yes,no,0,220.8,100,265.7,106,212.8,94,6.4,3,0,False,False,0.00119643122889102
WI,104,510,no,yes,15,124.7,99,188.3,108,208.6,95,8,3,0,False,False,0.00109239597804844
WY,124,415,no,no,0,178.3,102,235,120,239.7,119,10.9,1,3,False,False,0.000469245802378282
MO,98,415,no,no,0,221.2,80,213.6,104,291.8,89,11.9,3,4,False,False,0.000213318504393101
ME,36,510,no,yes,25,152.8,110,242.8,67,147.4,74,9.1,2,1,False,False,0.000519727065693587
AL,136,510,no,no,0,109.4,91,207.5,111,135,107,11.6,5,0,False,False,0.000346764252753928
OH,163,415,no,no,0,241.6,102,138.9,100,148.8,129,9.8,6,1,False,False,0.000115729577373713
AL,100,415,no,yes,26,197.7,80,232.6,83,196.7,120,12,5,1,False,False,0.000432367873145267
SD,60,408,no,yes,43,179.9,100,245.1,71,225.7,114,11.4,4,2,False,False,0.00675630429759622
WV,52,510,no,yes,21,195.7,119,106.2,95,157.4,94,5.3,3,2,False,False,9.4061171694193E-05
WV,57,415,yes,yes,17,236.5,94,163.1,94,236.7,117,12.2,3,2,False,False,2.29410543397535E-05
HI,155,408,no,no,0,214.2,121,199.5,68,216.8,132,11.7,10,3,False,False,0.00112966110464185
NM,132,408,no,no,0,169.9,107,209.4,121,206.1,79,11.5,2,1,False,False,0.00101347640156746
OR,165,415,no,no,0,216.6,126,190.8,104,224.7,123,12.4,8,0,False,False,0.00157224689610302
DE,108,510,no,no,0,169.6,99,264.1,87,206.3,78,9.3,4,0,False,False,0.0013916571624577
WV,161,415,no,no,0,159.6,102,212.6,119,151.4,83,12.6,7,5,True,True,0.998717427253723
WI,143,510,no,no,0,194.3,99,123.6,133,229.5,99,10.2,2,2,False,False,0.00379471271298826
AK,76,415,no,no,0,143.7,55,173.1,108,239.1,95,5.8,6,1,False,False,0.000583347165957093
KS,114,415,no,no,0,209.2,127,165.3,93,196.8,98,10.6,8,3,False,False,0.00151509663555771
WV,48,408,no,no,0,275.2,67,180.2,108,159,110,7.9,2,1,False,False,0.00837390031665564
IL,103,408,no,no,0,205.2,74,200.8,97,251.1,94,11.2,1,1,False,False,0.00130203017033637
DE,30,415,no,yes,30,217.4,74,213.8,86,227.2,104,6.6,3,0,False,False,0.000518608721904457
WY,101,510,no,yes,9,160.1,116,210,121,139.1,65,10.8,9,0,False,False,0.000353526382241398
PA,108,510,no,yes,25,170.7,88,109.9,113,165.7,99,8.7,1,3,False,False,0.000326123525155708
MN,75,415,no,no,0,225.3,124,228,81,254.3,106,11.7,3,1,False,False,0.00129896332509816
MO,87,408,no,no,0,129.5,104,194,133,287.9,65,7.2,7,2,False,False,0.000318201055051759
OH,165,510,no,no,0,209.4,67,273.8,89,150.2,88,12.8,1,0,False,False,0.00489792134612799
WV,120,510,no,no,0,192.6,123,206.4,105,283.2,93,10.8,3,1,False,False,0.00209480803459883
MA,102,510,yes,no,0,233.8,103,221.6,131,146.9,106,12.8,3,0,False,False,0.000553370045963675
IL,71,510,yes,no,0,186.1,114,198.6,140,206.5,80,13.8,5,4,True,True,0.998956680297852
FL,113,415,no,no,0,317.1,97,224.8,70,215.1,90,13.6,2,1,True,True,0.999997138977051
WA,73,510,yes,no,0,202.9,108,285.9,121,219,102,12.8,5,1,False,False,0.0142873199656606
AR,71,408,no,yes,24,139.8,58,253.8,110,252.8,113,11.1,6,1,False,False,0.000390558852814138
DC,108,510,no,no,0,138.6,122,172.3,117,231.6,92,9.8,3,1,False,False,0.000381956313503906
UT,81,415,no,no,0,129.9,121,230.1,105,140.5,123,13.3,3,0,False,False,0.000469791557407007
WV,123,408,no,yes,31,203.6,108,156.9,112,236.2,114,12,5,1,False,False,0.000356610253220424
GA,120,510,no,no,0,147.7,101,144.1,71,237,115,11.1,5,0,False,False,0.00164629693608731
VA,172,510,no,no,0,169.8,123,183.1,94,395,72,12.7,7,2,False,False,0.000116918643470854
OK,149,510,no,no,0,117.2,99,227.7,74,221.7,141,9,7,1,False,False,0.000462868309114128
HI,171,510,no,no,0,189.8,122,173.7,85,257.1,84,10.3,1,0,False,False,0.000443455763161182
